treatment_id	n_terms_above_5
taxon_fce609ba7d0d81296a7faa534d5c6c531a45e5015d2ddef647d040f207520b74	242
taxon_889b5e9d6fda9617ecec2d6fea3914fe38d0f5cdd1eaa5164d061b6d8481535b	240
taxon_db652705500803e894e505b6df3ae55c36948ded012b72a16b742360525ed969	240
taxon_94920525821e9ad5d70a65e391a02be5141ae129f309c60ce5b5dc833d1309e0	239
taxon_bba4dee58046311a9f6922aa0fc497507ed0cb5fd1addc4c5293fc60f816b974	239
taxon_62ea7c6a35df520433cca636b507a13d57b3ecf18ba37842c09f77e77559da68	237
taxon_ef42b8651198516f3f6420b940d21eb4ee1b2afa662d96eaf7926162d713547a	234
taxon_7c0822b04a49226720c278788b6ecea51704619645f114281072f3e2f29d3a5d	233
taxon_8a0599d0bc2b1d6a064e802c21ccfb9bd004030e64cfe861a1139d6af1af3c36	232
taxon_799978fe3e921bd5fdda5a866392be46583cb1de10bbcc3f42f33ad2fa240a39	231
taxon_18979de948c0177dd35b1c84fc94b1a62cfc705406fc2d61d3b02e8de7e0a31f	229
taxon_99227cc9665b5a8babcf00f8f782a3a14d00629a55fee55a9b63511deaad4e89	229
taxon_0ad3785f4ecf27ec79bced2b388d3c74478fc4abb5e28969afe944a858adb642	228
taxon_5f55b656533da724f7adb756b43f34ccae816e799d805d8f5376b2a3a0eec1cf	228
taxon_95b35411288b0d9fef480482ecdf3735bcbd414474b995e015c4f983f78c99b3	227
taxon_214127f5ff72f9b0af650dc7451e9a31372dafcb58810a03d732f164c9a3c1b5	223
taxon_93615237260d42c3fa4adc6a004dd2d0d633e3c2bd7f025dc94bc4faca77212a	222
taxon_b46257941f815bcbe4cdeca51b80e20daf5f64186bee236a51c978ca77bf33d6	222
taxon_dca22b7dec5c21ebf57aef3a2d732c27d051a288552d5615868e7fa34f18e315	222
taxon_783979f7f39d1f5e0d372db3139f405ad64e06a620f97480ba3f08263a693834	221
taxon_2e4c47decee654b14786ae76c38a423a506154031ecd9b8c4c1d923d18844961	220
taxon_2e55c940eae7fc200a4678157cca0e1e8b2c93331c44f2c6b8ee42e672bed725	220
taxon_9cce90ea2b61700867a0455c75b64267af7dc85c12e530bf7a15571a66b5b0d1	220
taxon_ea20e63ea83862a5db664cd5a4d9bc71245594564b9d0fb0f2fbd781ea172f19	219
taxon_74e8e40bf8dcb742ad8036990fe957968a2f3abcd216648539febbbe5a8fd922	217
taxon_850bed2cb5a48721a0e2608b3df078cc3f89de4c9d22c3207ea1c7f375c7cdff	217
taxon_f2455371032ea392238e8fb5dedfed4fd67331977d915c9dc4026511c0e21984	217
taxon_bdeced5b91432c34d5e2dd3f6a05dec6c41bf8f6c7dde846d11437aaacb911fe	215
taxon_fd07aaebe79dbc308c67e4cd87606b397e73beae5b1e96578d17bc27d0bb1385	215
taxon_3fd702b02128bb1982a30ce43e7e8c47096304111823f27a9bf0f90487bc7744	214
taxon_3060167949ea2beff929aa2265792dc17bc95d5bbb7e1ac9a738d78c8f59d7eb	213
taxon_e8ef5db12ed7e2e3821bd334698a913fd197dd9eb16949d997367d4085b4aede	213
taxon_121d0dcdc3f0b5b13a34d71d01e1ccbf74c216fdeb673ebb55a4f6481a8f7c1c	212
taxon_6f355bf8654931ff86d271d0832d4be28f05505a8042ba28ad6d8b9e00d37969	212
taxon_cf48689f9be207fb58aaea8d196c3508d6fafc2f517e1ae7cd628340a610c552	212
taxon_e130a39eacb7ee91f678a25b1cdb153d1f610b114a3ff7b13c6e00826b372eb7	212
taxon_f4f9002f581fa69c962f7a61cb34f05d45cd6ab65868ebf7189292d4e9d6b935	211
taxon_c79271bf5fc2af32de6ace86f43cd2e9659db93be943d69b97db8175d2e12310	210
taxon_231c84892174006e6059629ca98d55ba69350e6eb29b22aa83df242818e12558	209
taxon_09f2fb7bbe48290536e9eafce3429bc59e2b82fa2f395f02f89a908c8f2a5819	207
taxon_3fe5c43f7fa3fd6ec4aafe3f5970ddd51b03f908e8f507ef35d9c4464425d71b	207
taxon_174fe58ca4b591911172ac9db05b67b9600d27143506115229bbc1238ddd97be	206
taxon_7996a23dbd0aeb2e9db6830983fa433c03c580710db005450924a728088efa1d	206
taxon_8577e12df7573367214452577988b90e662c72b0446d733b84589d6bdc647d21	206
taxon_5c48f8ac7c11b6b5c7a3c076be6d6fabae43d632e3cfa1bce3d4a3b29378a017	205
taxon_80accc3e8e2657ac7dc53bb993b63ba8d6dd7cb8634bb235952b440c922fec61	203
taxon_60009deff9eec0427454b667ba54797a2561808937a0c55ca282ce4c194c1c73	202
taxon_b0031d75c65c82fb12906df23a690f42aa43aaa92f27f47362930230a9d8a16a	202
taxon_0565e3ab9184651cf13bcbfd67af766281a2a3bcf18230110832fcfb3cdfa877	201
taxon_03d302058bace7c94eba506ea74bd04ae746eb629e233354f0ba68db7bfe23b2	200
taxon_741bddb5f1c237c48bd557eb52610a879ace2412767f3c4385d5b004dd2ad3b9	199
taxon_9c2b9b3175aa54265785d19f75372feacf067fe35b88841d8be7f2e471d458fb	199
taxon_40f080d7fe901f897b45fb1a8f3c9cf7506316d04a6c5c6349d745a0ccb4bea8	195
taxon_6f09471520e155cb6e1547f4abf8a163e08a198313acc4ef37ac3c8706aeb517	195
taxon_1a9641f2b59dd45fbcfdc0b866eb68ba0ea904c08f76df152c9f1daf84804fb4	194
taxon_d5a2f66598bd71942b63b683eccb98acc7ae7c51d2c938a90c39b1529c5316cf	193
taxon_ae748e53e03beabac836c3990e41b08b002d6c040e7e5220d6e760f555319caf	192
taxon_206b477ef727d15745876529ef742012f666d1b83b9433adcd6ac44e7aae74b2	191
taxon_5af1e65f7afe243dbdc855963331baa7c63dd88124d00e2ad702e18d71356ea7	191
taxon_5417b4750e197c4fcbaca84e7df585462231858fa32e2e43fbb86cc979f6d985	190
taxon_ad71c332224c72d3aeeed2e5f115772d10ac33d177fdbc9e1df5e870ad83fe89	190
taxon_ba44cebc28f81e88130eb7895aeb376e0a59927f4a6e0eadea904abfeff2ee49	189
taxon_dbab312da582748d8e6824e6481912358565040c55deb39e23711f2793970b4e	189
taxon_08fa6613634afd005a41ff491658eea06bb66f0737df407b4600b27609918f36	188
taxon_53c300967cc8b2b4112557e160882fc87f0810972699f3e3a4db09449302a77e	188
taxon_763363f9c9429acbf7668adc7634984d281f9575e66c0bd9e48e7803c8dcba3f	188
taxon_9b14251ad81ea8b323fda2c50e2e7bc846a4449f966bf8f4a252f2b591e7aafc	187
taxon_e1c0270f5bf87131a8c6f5c59614e55310ac58c8ccbda28c54c710afb483d5f1	187
taxon_ee32815fb1dbdb3049e627872b8d61a7c01ef8a8fd3aea982062a86848cb7965	187
