Headword,DEFINITION,Part of Speech,SEMANTIC GROUP,FREQUENCY RANK,Transliterated,Latinized
πλήν,"(prep.) except (+gen.); (conj.) except that, unless, but",preposition,Prepositions without Direction,304,plen,plen
τέσσαρες τέσσαρα,four,adjective: numeral,Measurements and Numerals,305,tessares tessara,tessares tessara
δυνατός –ή –όν,"strong, powerful, able",adjective: 1st and 2nd declension,Characteristics,306,dynatos e on,dynatus e on
"οἶκος οἴκου, ὁ","house, home, family",noun: 2nd declension,Family and Friendship and the Home,307,"oecos oecu, ho","oecus oecu, ho"
ἄριστος ἀρίστη ἄριστον,"best, noblest (superl. of ἀγαθός)",adjective: 1st and 2nd declension,Ethics and Morals,308,aristos ariste ariston,aristus ariste aristum
ῥᾴδιος ῥᾳδία ῥᾴδιον,easy,adjective: 1st and 2nd declension,Characteristics,309,rhadios rhadia rhadion,rhadius rhadia rhadium
"ἀφαιρέω, ἀφαιρήσω, ἀφεῖλον, ἀφῄρηκα, ἀφῄρημαι, ἀφῃρέθην","take from, take away",verb: contracted,Taking and Giving,310,"aphaereo, aphaereso, aphilon, aphereca, apheremae, apherethen","aphaereo, aphaereso, aphilon, aphereca, apheremae, apherethen"
"τύχη τύχης, ἡ","luck, fortune (good or bad), fate, chance",noun: 1st declension,Life and Death,311,"tyche tyches, he","tyche tyches, he"
φανερός –ά –όν,"clear, evident",adjective: 1st and 2nd declension,The Senses and Feelings,312,phaneros a on,phanerus a on
"πρόσωπον προσώπου, τό","face, mask, person",noun: 2nd declension,Body Parts,313,"prosopon prosopu, to","prosopum prosopu, to"
"πιστεύω, πιστεύσω, ἐπίστευσα, πεπίστευκα, πεπίστευμαι, ἐπιστεύθην","trust, rely on, believe in (+dat.)",verb: -ω vowel stem,The Senses and Feelings,314,"pisteuo, pisteuso, episteusa, pepisteuca, pepisteumae, episteuthen","pisteuo, pisteuso, episteusa, pepisteuca, pepisteumae, episteuthen"
"διδάσκω, διδάξω, ἐδίδαξα, δεδίδαχα, δεδίδαγμαι, ἐδιδάχθην",teach,verb: -ω palatal stem,"The Mind, Perceiving and Learning",315,"didasco, didaxo, edidaxa, dedidacha, dedidagmae, edidachthen","didasco, didaxo, edidaxa, dedidacha, dedidagmae, edidachthen"
ἄνω,"up, upwards",adverb,Direction,316,ano,ano
"τάσσω, τάξω, ἔταξα, τέταχα, τέταγμαι, ἐτάχθην","arrange, put in order",verb: -ω palatal stem,Government and Society,317,"tasso, taxo, etaxa, tetacha, tetagmae, etachthen","tasso, taxo, etaxa, tetacha, tetagmae, etachthen"
"ὀφθαλμός –οῦ, ὁ",eye,noun: 2nd declension,Body Parts,318,"ophthalmos u, ho","ophthalmus u, ho"
"δέχομαι, δέξομαι, ἐδεξάμην, δέδεγμαι, -εδέχθην","take, accept; welcome, entertain",verb: deponent,Family and Friendship and the Home,319,"dechomae, dexomae, edexamen, dedegmae, -edechthen","dechomae, dexomae, edexamen, dedegmae, -edechthen"
"ἀφικνέομαι, ἀφίξομαι, 2 aor. ἀφικόμην, ἀφῖγμαι","come to, arrive at",verb: deponent,Movement,320,"aphicneomae, aphixomae, 2 aor. aphicomen, aphigmae","aphicneomae, aphixomae, 2 aor. aphicomen, aphigmae"
ἱκανός –ή –όν,"sufficient, enough; competent, able to (+infin.)",adjective: 1st and 2nd declension,Help and Safety,321,hicanos e on,hicanus e on
"ἐργάζομαι, ἐργάσομαι, εἰργασάμην, εἴργασμαι","work, labor",verb: deponent,Work and Leisure,322,"ergazomae, ergasomae, irgasamen, irgasmae","ergazomae, ergasomae, irgasamen, irgasmae"
"μάχη μάχης, ἡ",battle,noun: 1st declension,War and Peace,323,"mache maches, he","mache maches, he"
"τρέφω, θρέψω, ἔθρεψα, τέθραμμαι, ἐτράφην","nourish, feed, support, maintain; rear, educate",verb: -ω labial stem,Life and Death,324,"trepho, threpso, ethrepsa, tethrammae, etraphen","trepho, threpso, ethrepsa, tethrammae, etraphen"
ἀδύνατος –ον,impossible; powerless,adjective: 1st and 2nd declension,Government and Society,325,adynatos on,adynatus on
ἀκριβής –ές,"exact, accurate, precise","adjective: 3rd declension -ης, -ες",Measurements and Numerals,326,acribes es,acribes es
που,"(enclitic) somewhere; I suppose, perhaps (to qualify an assertion)",adverb,Particles,327,pu,pu
ὅθεν,"from where, whence",adverb,Direction,328,hothen,hothen
"στόμα στόματος, τό","mouth, face, opening",noun: 3rd declension consonant stem,Body Parts,329,"stoma stomatos, to","stoma stomatos, to"
χωρίς,"separately, apart; (+gen.) without, separate from",adverb,Direction,330,choris,choris
κρείσσων κρεῖσσον,"stronger, mightier; better, more excellent (comp. of ἀγαθός)","adjective: 3rd declension -ων, -ον",Characteristics,331,crisson crisson,crissum crissum
βραχύς βραχεῖα βραχύ,"brief, short","adjective: -ύς, -εῖα, -ύ",Characteristics,332,brachys brachia brachy,brachys brachia brachy
ἰσχυρός –ά –όν,strong,adjective: 1st and 2nd declension,Characteristics,333,ischyros a on,ischyrus a on
"ἀλήθεια ἀληθείας, ἡ",truth,noun: 1st declension,Ethics and Morals,334,"alethia alethias, he","alethia alethias, he"
"δίκη δίκης, ἡ","justice, lawsuit, trial, penalty",noun: 1st declension,Law and Judgment,335,"dice dices, he","dice dices, he"
"χωρίον χωρίου, τό","place, spot, district",noun: 2nd declension,Earth,336,"chorion choriu, to","chorium choriu, to"
ἡδύς ἡδεῖα ἡδύ,"sweet, pleasant","adjective: -ύς, -εῖα, -ύ",Characteristics,337,hedys hedia hedy,hedys hedia hedy
"νόσος νόσου, ἡ","disease, sickness",noun: 2nd declension,Life and Death,338,"nosos nosu, he","nosus nosu, he"
"λίθος λίθου, ὁ",stone,noun: 2nd declension,Earth,339,"lithos lithu, ho","lithus lithu, ho"
παλαιός –ά –όν,"old, ancient",adjective: 1st and 2nd declension,Characteristics,340,palaeos a on,palaeus a on
"ἀφίημι, ἀφήσω, ἀφῆκα, ἀφεῖκα, ἀφεῖμαι, ἀφείθην","send away, let go; let alone, neglect",verb: -μι,Taking and Giving,341,"aphiemi, apheso, apheca, aphica, aphimae, aphithen","aphiemi, apheso, apheca, aphica, aphimae, aphithen"
ἄλλως,otherwise,adverb,Pronouns/Interrogatives,342,allos,allus
"πρᾶξις πράξεως, ἡ","action, transaction, business",noun: 3rd declension ι-stem,Work and Leisure,343,"praxis praxeos, he","praxis praxeos, he"
σαφής σαφές,"clear, distinct, plain","adjective: 3rd declension -ης, -ες",Showing and Finding,344,saphes saphes,saphes saphes
σοφός –ή –όν,"wise, clever, skilled",adjective: 1st and 2nd declension,Characteristics,345,sophos e on,sophus e on
"νικάω, νικήσω, ἐνίκησα, νενίκηκα, νενίκημαι, ἐνικήθην","conquer, win",verb: contracted,War and Peace,346,"nicao, niceso, enicesa, neniceca, nenicemae, enicethen","nicao, niceso, enicesa, neniceca, nenicemae, enicethen"
"ὁμολογέω, ὁμολογήσω, ὡμολόγησα, ὡμολόγηκα, ὡμολόγημαι, ὡμολογήθην","agree with, say the same thing as (+dat.)",verb: contracted,Law and Judgment,347,"homologeo, homologeso, homologesa, homologeca, homologemae, homologethen","homologeo, homologeso, homologesa, homologeca, homologemae, homologethen"
"ναός (νεώς) ναοῦ (νεώ), ὁ",temple,noun: 2nd declension,Religion,348,"naos (neos) nau (neo), ho","naus (neos) nau (neo), ho"
"αὖ, αὖθις",moreover; on the other hand; back (again),adverb,Particles,349,"au, authis","au, authis"
"πατρίς πατρίδος, ἡ",fatherland,noun: 3rd declension consonant stem,Government and Society,350,"patris patridos, he","patris patridos, he"
ὀξύς ὀξεῖα ὀξύ,"sharp, keen, shrill, pungent","adjective: -ύς, -εῖα, -ύ",Characteristics,351,oxys oxia oxy,oxys oxia oxy
καίτοι (καί-τοι),"and indeed, and yet",adverb,Particles,352,caetoe (cae-toe),caetoe (cae-toe)
πλέον,"more, rather",adverb,Measurements and Numerals,353,pleon,pleum
πλέων πλέον,"more, larger (comp. of πολύς)","adjective: 3rd declension -ων, -ον",Measurements and Numerals,354,pleon pleon,pleum pleum
"γνώμη γνώμης, ἡ","thought, intelligence, opinion, purpose",noun: 1st declension,"The Mind, Perceiving and Learning",355,"gnome gnomes, he","gnome gnomes, he"
"τιμή τιμῆς, ἡ","honor, esteem; price, value; office, magistracy",noun: 1st declension,Ethics and Morals,356,"time times, he","time times, he"
μεταξύ,between (prep. + gen.); in the midst of (adv.),preposition,Direction,357,metaxy,metaxy
προσήκω προσήξω,"belong to, have to do with; be fitting for (+dat.); arrive at; οἱ προσήκοντες relatives; τὰ προσήκoντα duties",verb: -ω palatal stem,Ethics and Morals,358,proseco prosexo,proseco prosexo
πρίν,"before, until",conjunction: subordinating,Time,359,prin,prin
"ἀδικέω, ἀδικήσω, ἠδίκησα, ἠδίκηκα, ἠδίκημαι, ἠδικήθην",do wrong; injure,verb: contracted,Ethics and Morals,360,"adiceo, adiceso, edicesa, ediceca, edicemae, edicethen","adiceo, adiceso, edicesa, ediceca, edicemae, edicethen"
"στρατηγός –οῦ, ὁ","leader of an army, commander, general",noun: 2nd declension,War and Peace,361,"strategos u, ho","strategus u, ho"
οὐκέτι,"no longer, no more",adverb,Time,362,uceti,uceti
"πρέσβυς πρέσβεως, ὁ",old man; (pl.) ambassadors,"noun: 3rd declension -εύς, -έως",Government and Society,363,"presbys presbeos, ho","presbys presbeos, ho"
"παύω, παύσω, ἔπαυσα, πέπαυκα, πέπαυμαι, ἐπαύθην","stop, put an end to; (mid.) cease",verb: -ω vowel stem,Movement,364,"pauo, pauso, epausa, pepauca, pepaumae, epauthen","pauo, pauso, epausa, pepauca, pepaumae, epauthen"
"τελευτάω, τελευτήσω, ἐτελεύτησα, τετελεύτηκα, τετελεύτημαι, ἐτελευτήθην",finish; die,verb: contracted,Life and Death,365,"teleutao, teleuteso, eteleutesa, teteleuteca, teteleutemae, eteleutethen","teleutao, teleuteso, eteleutesa, teteleuteca, teteleutemae, eteleutethen"
"μίγνυμι, μίξω, ἔμιξα, μέμιχα,μέμιγμαι, ἐμίχθην","mix, mingle",verb: -μι,Work and Leisure,366,"mignymi, mixo, emixa, memicha,memigmae, emichthen","mignymi, mixo, emixa, memicha,memigmae, emichthen"
"λαός λαοῦ, ὁ","the people, folk",noun: 2nd declension,Humanity and Being,367,"laos lau, ho","laus lau, ho"
"θυγάτηρ θυγατρός, ἡ",daughter,noun: 3rd declension irregular,Family and Friendship and the Home,368,"thygater thygatros, he","thygater thygatros, he"
"οἰκία οἰκίας, ἡ","building, house, dwelling",noun: 1st declension,Family and Friendship and the Home,369,"oecia oecias, he","oecia oecias, he"
"παραδίδωμι, παραδώσω, παρέδωκα, παραδέδωκα, παραδέδομαι, παρεδόθην","transmit, hand over, surrender",verb: -μι,Taking and Giving,370,"paradidomi, paradoso, paredoca, paradedoca, paradedomae, paredothen","paradidomi, paradoso, paredoca, paradedoca, paradedomae, paredothen"
ἔξω,outside; except,adverb,Direction,371,exo,exo
"νῆσος νήσου, ἡ",island,noun: 2nd declension,Earth,372,"nesos nesu, he","nesus nesu, he"
ἐκεῖ,there,adverb,Direction,373,eci,eci
"ἐπιστήμη –ης, ἡ","knowledge, understanding, skill",noun: 1st declension,"The Mind, Perceiving and Learning",374,"episteme es, he","episteme es, he"
"ἐάω, ἐάσω, εἴασα","allow, permit (+acc. and infin.); let be, let alone",verb: contracted,Law and Judgment,375,"eao, easo, iasa","eao, easo, iasa"
"θαυμάζω, θαυμάσομαι, ἐθαύμασα, τεθαύμακα, τεθαύμασμαι, ἐθαυμάσθην","to be in awe (of), be astonished (at)",verb: -ω dental stem,The Senses and Feelings,376,"thaumazo, thaumasomae, ethaumasa, tethaumaca, tethaumasmae, ethaumasthen","thaumazo, thaumasomae, ethaumasa, tethaumaca, tethaumasmae, ethaumasthen"
"αἰσθάνομαι, αἰσθήσομαι, 2 aor. ᾐσθόμην, ᾔσθημαι","perceive, understand, hear, learn",verb: deponent,"The Mind, Perceiving and Learning",377,"aesthanomae, aesthesomae, 2 aor. esthomen, esthemae","aesthanomae, aesthesomae, 2 aor. esthomen, esthemae"
"χαίρω, χαιρήσω, κεχάρηκα, κεχάρημαι, ἐχάρην","to be happy, rejoice at (+dat.), take joy in (+ptc.); χαῖρε, (pl.) χαίρετε hello, goodbye",verb: -ω liquid stem,The Senses and Feelings,378,"chaero, chaereso, cechareca, cecharemae, echaren","chaero, chaereso, cechareca, cecharemae, echaren"
χαλεπός –ή –όν,"difficult, troublesome",adjective: 1st and 2nd declension,Characteristics,379,chalepos e on,chalepus e on
"τέκνον τέκνου, τό",child,noun: 2nd declension,Family and Friendship and the Home,380,"tecnon tecnu, to","tecnum tecnu, to"
"καταλαμβάνω, καταλήψομαι, κατέλαβον, κατείληφα, κατείλημμαι, κατελήφθην","seize, catch up with, arrest, compel",verb: -ω labial stem,War and Peace,381,"catalambano, catalepsomae, catelabon, catilepha, catilemmae, catelephthen","catalambano, catalepsomae, catelabon, catilepha, catilemmae, catelephthen"
"μάχομαι, μαχοῦμαι, ἐμαχεσάμην, μεμάχημαι",fight (against) (+dat.),verb: deponent,War and Peace,382,"machomae, machumae, emachesamen, memachemae","machomae, machumae, emachesamen, memachemae"
"μιμνήσκω, -μνήσω, -έμνησα, pf. μέμνημαι, ἐμνήσθην",remind; (in pf. mid.) remember,verb: -ω palatal stem,"The Mind, Perceiving and Learning",383,"mimnesco, -mneso, -emnesa, pf. memnemae, emnesthen","mimnesco, -mneso, -emnesa, pf. memnemae, emnesthen"
"θνῄσκω, 2 aor. -έθανον, τέθνηκα, θανοῦμαι","to die, be dying",verb: -ω palatal stem,Life and Death,384,"thnesco, 2 aor. -ethanon, tethneca, thanumae","thnesco, 2 aor. -ethanon, tethneca, thanumae"
"λύω, λύσω, ἔλυσα, λέλυκα, λέλυμαι, ἐλύθην","loosen, unbind, set free; undo, destroy",verb: -ω vowel stem,War and Peace,384,"lyo, lyso, elysa, lelyca, lelymae, elythen","lyo, lyso, elysa, lelyca, lelymae, elythen"
"τιμάω, τιμήσω, ἐτίμησα, τετίμηκα, τετίμημαι, ἐτιμήθην",to honor,verb: contracted,Ethics and Morals,386,"timao, timeso, etimesa, tetimeca, tetimemae, etimethen","timao, timeso, etimesa, tetimeca, tetimemae, etimethen"
"τεῖχος τείχους, τό",wall,noun: 3rd declension σ-stem,Government and Society,387,"tichos tichus, to","tichus tichus, to"
ἴσως,"equally, probably, perhaps",adverb,Conjunctions/Adverbs,388,isos,isus
"αἴρω, ἀρῶ, ἦρα, ἦρκα, ἦρμαι, ἤρθην","take up, lift up; remove",verb: -ω palatal stem,Movement,389,"aero, aro, era, erca, ermae, erthen","aero, aro, era, erca, ermae, erthen"
"ἀποκτείνω, ἀποκτενῶ, ἀπέκτεινα, ἀπέκτονα",kill,verb: -ω liquid stem,War and Peace,390,"apoctino, apocteno, apectina, apectona","apoctino, apocteno, apectina, apectona"
"στρατιώτης –ου, ὁ",soldier,noun: 2nd declension,War and Peace,391,"stratiotes u, ho","stratiotes u, ho"
ἄνευ,without (+gen.),preposition,Prepositions without Direction,392,aneu,aneu
πότερος ποτέρα πότερον,which of the two? πότερον whether,adjective: 1st and 2nd declension,Pronouns/Interrogatives,393,poteros potera poteron,poterus potera poterum
ἁπλῶς,"simply, singly, in one way",adverb,Measurements and Numerals,394,haplos,haplus
"πίπτω, πεσοῦμαι, ἔπεσον, πέπτωκα","fall, fall down",verb: -ω dental stem,War and Peace,395,"pipto, pesumae, epeson, peptoca","pipto, pesumae, epeson, peptoca"
τέταρτος –η –ον,fourth,adjective: numeral,Measurements and Numerals,396,tetartos e on,tetartus e on
"κατασκευάζω, κατασκευάσω, κατεσκεύασα","equip, furnish, make ready",verb: -ω dental stem,Work and Leisure,397,"catasceuazo, catasceuaso, catesceuasa","catasceuazo, catasceuaso, catesceuasa"
ἐχθρός –ά –όν,"hated, hateful; hostile to (+dat.)",adjective: 1st and 2nd declension,Characteristics,398,echthros a on,echthrus a on
"ἀγών ἀγῶνος, ὁ",contest; struggle,noun: 3rd declension consonant stem,Government and Society,399,"agon agonos, ho","agum agonos, ho"
"κωλύω, κωλύσω, ἐκώλυσα, κεκώλυκα, κεκώλυμαι, ἐκωλύθην","hinder, check, prevent (+acc. and infin.)",verb: -ω vowel stem,War and Peace,400,"colyo, colyso, ecolysa, cecolyca, cecolymae, ecolythen","colyo, colyso, ecolysa, cecolyca, cecolymae, ecolythen"
"ἁμαρτάνω, ἁμαρτήσομαι, ἡμάρτησα, 2 aor. ἥμαρτον, ἡμάρτηκα, ἡμάρτημαι, ἡμαρτήθην","miss the mark (+gen.); fail, be wrong, make a mistake",verb: -ω dental stem,Ethics and Morals,401,"hamartano, hamartesomae, hemartesa, 2 aor. hemarton, hemarteca, hemartemae, hemartethen","hamartano, hamartesomae, hemartesa, 2 aor. hemarton, hemarteca, hemartemae, hemartethen"
"διαφθείρω, διαφθερῶ, διέφθειρα, διέφθαρκα, διέφθαρμαι, διεφθάρην",destroy; corrupt,verb: -ω liquid stem,War and Peace,402,"diaphthiro, diaphthero, diephthira, diephtharca, diephtharmae, diephtharen","diaphthiro, diaphthero, diephthira, diephtharca, diephtharmae, diephtharen"
πως,"(enclitic) somehow, in some way, in any way",adverb,Particles,403,pos,pus
"πόνος πόνου, ὁ","work, labor; stress, trouble, pain",noun: 2nd declension,Work and Leisure,404,"ponos ponu, ho","ponus ponu, ho"
ἔνθα,there,adverb,Direction,405,entha,entha
"τάξις τάξεως, ἡ","arrangement, order; military unit",noun: 3rd declension ι-stem,War and Peace,406,"taxis taxeos, he","taxis taxeos, he"
"πειράω (usually mid. πειράομαι), πειράσομαι, ἐπείρασα, πεπείραμαι, ἐπειράθην","attempt, try, make a trial of (+gen.)",verb: contracted,Work and Leisure,407,"pirao (usually mid. piraomae), pirasomae, epirasa, pepiramae, epirathen","pirao (usually mid. piraomae), pirasomae, epirasa, pepiramae, epirathen"
"φοβέω, φοβήσω, ἐφόβησα, πεφόβημαι, ἐφοβήθην","put to flight; (mid. and pass.) flee, fear",verb: contracted,The Senses and Feelings,408,"phobeo, phobeso, ephobesa, pephobemae, ephobethen","phobeo, phobeso, ephobesa, pephobemae, ephobethen"
"βάλλω, βαλῶ, 2 aor. ἔβαλον, βέβληκα, βέβλημαι, ἐβλήθην","throw, hurl; throw at, hit (acc.) with (dat.)",verb: -ω liquid stem,Movement,409,"ballo, balo, 2 aor. ebalon, bebleca, beblemae, eblethen","ballo, balo, 2 aor. ebalon, bebleca, beblemae, eblethen"
πονηρός –ά –όν,"worthless, bad, wicked",adjective: 1st and 2nd declension,Characteristics,410,poneros a on,ponerus a on
"ξένος ξένου, ὁ","guest-friend; foreigner, stranger",noun: 2nd declension,Government and Society,411,"xenos xenu, ho","xenus xenu, ho"
βάρβαρος –ον,"non-Greek, foreign; barbarous",adjective: 1st and 2nd declension,Government and Society,412,barbaros on,barbarus on
ὅπου,"where, wherever",conjunction: subordinating,Conjunctions/Adverbs,413,hopu,hopu
"συμφέρω, συνοίσω, 1 aor. συνήνεγκα","benefit, be useful or profitable to (+dat.); (impers.) συμφέρει it is of use, expedient (+infin.); τὸ συμφέρον use, profit, advantage",verb: irregular,Help and Safety,414,"symphero, synoeso, 1 aor. synenenca","symphero, synoeso, 1 aor. synenenca"
"πυνθάνομαι, πεύσομαι, 2 aor. ἐπυθόμην, πέπυσμαι","learn, hear, inquire concerning (+gen.)",verb: deponent,"The Mind, Perceiving and Learning",415,"pynthanomae, peusomae, 2 aor. epythomen, pepysmae","pynthanomae, peusomae, 2 aor. epythomen, pepysmae"
"δοῦλος δούλου, ὁ",slave,noun: 2nd declension,Government and Society,416,"dulos dulu, ho","dulus dulu, ho"
"τέμνω, τεμῶ, 2 aor. ἔτεμον, -τέτμηκα, τέτμημαι, ἐτμήθην","cut, cut down, cut to pieces",verb: -ω liquid stem,War and Peace,417,"temno, temo, 2 aor. etemon, -tetmeca, tetmemae, etmethen","temno, temo, 2 aor. etemon, -tetmeca, tetmemae, etmethen"
χρήσιμος χρησίμη χρήσιμον,"useful, serviceable",adjective: 1st and 2nd declension,Characteristics,418,chresimos chresime chresimon,chresimus chresime chresimum
ποῖος ποία ποῖον,what sort of?,adjective: 1st and 2nd declension,Pronouns/Interrogatives,419,poeos poea poeon,poeus poea poeum
"ὅπλον ὅπλου, τό","weapon, tool, implement (mostly pl.)",noun: 2nd declension,War and Peace,420,"hoplon hoplu, to","hoplum hoplu, to"
"πίστις πίστεως, ἡ","trust in others, faith; that which gives confidence, assurance, pledge, guarantee",noun: 3rd declension ι-stem,The Senses and Feelings,421,"pistis pisteos, he","pistis pisteos, he"
"ὑπολαμβάνω, ὑπολήψομαι, ὑπέλαβον, ὑπείληφα, ὑπείλημμαι, ὑπελήφθην","take up, seize; answer, reply; assume, suppose",verb: -ω labial stem,"The Mind, Perceiving and Learning",422,"hypolambano, hypolepsomae, hypelabon, hypilepha, hypilemmae, hypelephthen","hypolambano, hypolepsomae, hypelabon, hypilepha, hypilemmae, hypelephthen"
"ποιητής –οῦ, ὁ","creator, poet",noun: 2nd declension,Writing and Talking,423,"poeetes u, ho","poeetes u, ho"
"λανθάνω, λήσω, ἔλαθον, λέληθα","escape the notice of (+acc. and nom. participle), be unknown; (mid. and pass.) forget",verb: -ω liquid stem,Government and Society,424,"lanthano, leso, elathon, leletha","lanthano, leso, elathon, leletha"
βελτίων βέλτιον,better (comp. of ἀγαθός),"adjective: 3rd declension -ων, -ον",Ethics and Morals,425,beltion beltion,beltium beltium
πάντως,"altogether, in all ways; at any rate",adverb,Conjunctions/Adverbs,426,pantos,pantus
"πορεύω, πορεύσω, ἐπόρευσα, πεπόρευμαι, ἐπορεύθην","carry; (mid. and pass) go, walk, march",verb: -ω vowel stem,Work and Leisure,427,"poreuo, poreuso, eporeusa, peporeumae, eporeuthen","poreuo, poreuso, eporeusa, peporeumae, eporeuthen"
"ἀποκρίνω, ἀποκρινῶ, ἀπεκρινάμην, ἀπεκρίθη","separate, set apart, choοse; (mid.) answer, reply",verb: -ω liquid stem,Writing and Talking,428,"apocrino, apocrino, apecrinamen, apecrithe","apocrino, apocrino, apecrinamen, apecrithe"
πέντε,five,adjective: numeral,Measurements and Numerals,429,pente,pente
"κίνδυνος κινδύνου, ὁ",danger,noun: 2nd declension,War and Peace,430,"cindynos cindynu, ho","cindynus cindynu, ho"
"κατηγορέω, κατηγορήσω, κατηγόρησα, κατηγόρηκα, κατηγόρημαι, κατηγορήθην","to speak against, to accuse (+gen.)",verb: contracted,Law and Judgment,431,"categoreo, categoreso, categoresa, categoreca, categoremae, categorethen","categoreo, categoreso, categoresa, categoreca, categoremae, categorethen"
"τρέπω, τρέψω, ἔτρεψα, τέτροφα, ἐτράπην","turn, direct towards a thing; put to flight, defeat; (pass.) turn one’s steps in a certain direction, go",verb: -ω labial stem,Movement,432,"trepo, trepso, etrepsa, tetropha, etrapen","trepo, trepso, etrepsa, tetropha, etrapen"
ὅμως,"nevertheless, all the same, notwithstanding",adverb,Conjunctions/Adverbs,433,homos,homus
θεῖος θεία θεῖον,divine,adjective: 1st and 2nd declension,Religion,434,thios thia thion,thius thia thium
"ἱππεύς ἱππέως, ὁ","horseman, rider, charioteer","noun: 3rd declension -εύς, -έως",War and Peace,435,"hippeus hippeos, ho","hippeus hippeos, ho"
"κτάομαι, κτήσομαι, ἐκτησάμην, κέκτημαι","get, gain, acquire",verb: deponent,Taking and Giving,436,"ctaomae, ctesomae, ectesamen, cectemae","ctaomae, ctesomae, ectesamen, cectemae"
"λείπω, λείψω, ἔλιπον, λέλοιπα, λέλειμμαι, ἐλείφθην","leave, abandon",verb: -ω labial stem,Movement,437,"lipo, lipso, elipon, leloepa, lelimmae, eliphthen","lipo, lipso, elipon, leloepa, lelimmae, eliphthen"
"βουλή βουλῆς, ἡ","will, determination; counsel, piece of advice; council of elders",noun: 1st declension,Government and Society,438,"bule bules, he","bule bules, he"
"ἐλπίς ἐλπίδος, ἡ",hope; expectation,noun: 3rd declension consonant stem,The Senses and Feelings,439,"elpis elpidos, he","elpis elpidos, he"
"γραφή γραφῆς, ἡ","a drawing, painting, writing; indictment",noun: 1st declension,Writing and Talking,440,"graphe graphes, he","graphe graphes, he"
"τίκτω, τέξω or τέξομαι, ἔτεκον, τέτοκα, τέτεγμαι, ἐτέχθην","beget, give birth to, produce",verb: -ω palatal stem,Family and Friendship and the Home,441,"ticto, texo or texomae, etecon, tetoca, tetegmae, etechthen","ticto, texo or texomae, etecon, tetoca, tetegmae, etechthen"
"κομίζω, κομιῶ, ἐκόμισα, κεκόμικα, κεκόμισμαι, ἐκομίσθην","take care of, provide for",verb: -ω dental stem,Help and Safety,442,"comizo, comio, ecomisa, cecomica, cecomismae, ecomisthen","comizo, comio, ecomisa, cecomica, cecomismae, ecomisthen"
"θυμός θυμοῦ, ὁ","life, spirit; soul, heart, mind",noun: 2nd declension,Religion,443,"thymos thymu, ho","thymus thymu, ho"
"βλέπω, βλέψομαι, ἔβλεψα","see, look (at)",verb: -ω labial stem,The Senses and Feelings,444,"blepo, blepsomae, eblepsa","blepo, blepsomae, eblepsa"
"φόβος φόβου, ὁ","panic, fear, flight",noun: 2nd declension,The Senses and Feelings,445,"phobos phobu, ho","phobus phobu, ho"
"πολιτεία –ας, ἡ","constitution, citizenship, republic",noun: 1st declension,Government and Society,446,"politia as, he","politia as, he"
"στάδιον σταδίου, τό (pl. στάδια and στάδιοι)","stadion or stade, the longest Greek unit of linear measure, about 185 meters",noun: 2nd declension,Measurements and Numerals,447,"stadion stadiu, to (pl. stadia and stadioe)","stadium stadiu, to (pl. stadia and stadioe)"
"φρονέω, φρονήσω, ἐφρόνησα","think, intend to (+infin.); be minded towards (+adv. and dat.)",verb: contracted,"The Mind, Perceiving and Learning",448,"phroneo, phroneso, ephronesa","phroneo, phroneso, ephronesa"
τοιόσδε τοιάδε τοιόνδε,"such (as this), of such a sort (as this)",adjective: 1st and 2nd declension,Pronouns/Interrogatives,449,toeosde toeade toeonde,toeosde toeade toeonde
"ὁρμάω, ὁρμήσω, ὥρμησα, ὥρμηκα, ὥρμημαι, ὡρμήθην","set in motion, urge on; (intrans.) start, hasten on",verb: contracted,Movement,450,"hormao, hormeso, hormesa, hormeca, hormemae, hormethen","hormao, hormeso, hormesa, hormeca, hormemae, hormethen"
"παρασκευάζω, παρασκευάσω, παρεσκεύασα","get ready, prepare, provide",verb: -ω dental stem,Work and Leisure,451,"parasceuazo, parasceuaso, paresceuasa","parasceuazo, parasceuaso, paresceuasa"
"λαλέω, λαλήσω, ἐλάλησα, λελάληκα, ἐλαλήθην","talk, chatter, babble",verb: contracted,Writing and Talking,452,"laleo, laleso, elalesa, lelaleca, elalethen","laleo, laleso, elalesa, lelaleca, elalethen"
"δράω, δράσω, ἔδρασα, δέδρακα, δέδραμαι, ἐδράσθην","do, accomplish",verb: contracted,Work and Leisure,453,"drao, draso, edrasa, dedraca, dedramae, edrasthen","drao, draso, edrasa, dedraca, dedramae, edrasthen"
"σκοπέω, σκοπήσω, ἐσκόπησα","look at, watch; look into, consider, examine",verb: contracted,The Senses and Feelings,454,"scopeo, scopeso, escopesa","scopeo, scopeso, escopesa"
"βοῦς βοός, ὁ/ἡ","bull, ox, cow",noun: 3rd declension irregular,Animals and Plants,455,"bus boos, ho/e","bus boos, ho/e"
ἡμέτερος ἡμετέρα ἡμέτρον,our,adjective: 1st and 2nd declension,Pronouns/Interrogatives,456,hemeteros hemetera hemetron,hemeterus hemetera hemetrum
"γράμμα γράμματος, τό","letter, written character; (pl.) piece of writing, document(s)",noun: 3rd declension consonant stem,Writing and Talking,457,"gramma grammatos, to","gramma grammatos, to"
