Annotated,Classifier,Vectorizer,time,label,precision,recall,f1,support 
annotated,PassiveAggressiveClassifier,TfidfVectorizer,0.12106513977050781,Misc-exposition,0.95,0.98,0.97,667
annotated,PassiveAggressiveClassifier,TfidfVectorizer,0.12106513977050781,Nomenclature,0.82,0.68,0.74,75
annotated,RidgeClassifier,CountVectorizer,1.1502244472503662,Description,0.91,0.68,0.78,57
annotated,RidgeClassifier,CountVectorizer,1.1502244472503662,Misc-exposition,0.92,0.97,0.94,667
annotated,RidgeClassifier,CountVectorizer,1.1502244472503662,Nomenclature,0.67,0.44,0.53,75
annotated,RidgeClassifier,TfidfVectorizer,0.1944265365600586,Description,0.96,0.86,0.91,57
annotated,RidgeClassifier,TfidfVectorizer,0.1944265365600586,Misc-exposition,0.94,0.99,0.97,667
annotated,RidgeClassifier,TfidfVectorizer,0.1944265365600586,Nomenclature,0.96,0.59,0.73,75
annotated,SGDClassifier,CountVectorizer,0.12004566192626953,Description,0.89,0.88,0.88,57
annotated,SGDClassifier,CountVectorizer,0.12004566192626953,Misc-exposition,0.97,0.97,0.97,667
annotated,SGDClassifier,CountVectorizer,0.12004566192626953,Nomenclature,0.83,0.83,0.83,75
annotated,OneVsRestClassifier,CountVectorizer,0.5805420875549316,Description,0.87,0.82,0.85,57
annotated,OneVsRestClassifier,CountVectorizer,0.5805420875549316,Misc-exposition,0.96,0.96,0.96,667
annotated,OneVsRestClassifier,CountVectorizer,0.5805420875549316,Nomenclature,0.75,0.73,0.74,75
annotated,OneVsRestClassifier,TfidfVectorizer,0.7446582317352295,Description,0.96,0.88,0.92,57
annotated,OneVsRestClassifier,TfidfVectorizer,0.7446582317352295,Misc-exposition,0.95,0.99,0.97,667
annotated,OneVsRestClassifier,TfidfVectorizer,0.7446582317352295,Nomenclature,0.96,0.60,0.74,75
annotated,OneVsRestClassifier,CountVectorizer,0.294980525970459,Description,0.92,0.82,0.87,57
annotated,OneVsRestClassifier,CountVectorizer,0.294980525970459,Misc-exposition,0.95,0.98,0.96,667
annotated,OneVsRestClassifier,CountVectorizer,0.294980525970459,Nomenclature,0.84,0.61,0.71,75
annotated,OneVsRestClassifier,TfidfVectorizer,0.16146445274353027,Description,1.00,0.68,0.81,57
annotated,OneVsRestClassifier,TfidfVectorizer,0.16146445274353027,Misc-exposition,0.90,1.00,0.95,667
annotated,OneVsRestClassifier,TfidfVectorizer,0.16146445274353027,Nomenclature,0.96,0.29,0.45,75
not,BernoulliNB,CountVectorizer,0.129990816116333,Description,0.52,0.31,0.39,54
not,BernoulliNB,CountVectorizer,0.129990816116333,Misc-exposition,0.92,0.99,0.95,1184
not,BernoulliNB,CountVectorizer,0.129990816116333,Nomenclature,0.00,0.00,0.00,62
not,BernoulliNB,TfidfVectorizer,0.13338851928710938,Description,0.52,0.31,0.39,54
not,BernoulliNB,TfidfVectorizer,0.13338851928710938,Misc-exposition,0.92,0.99,0.95,1184
not,BernoulliNB,TfidfVectorizer,0.13338851928710938,Nomenclature,0.00,0.00,0.00,62
not,RandomForestClassifier,CountVectorizer,0.6097416877746582,Description,0.76,0.46,0.57,54
not,RandomForestClassifier,CountVectorizer,0.6097416877746582,Misc-exposition,0.95,0.99,0.97,1184
not,RandomForestClassifier,CountVectorizer,0.6097416877746582,Nomenclature,0.97,0.52,0.67,62
not,RandomForestClassifier,TfidfVectorizer,0.6047899723052979,Description,0.83,0.28,0.42,54
not,RandomForestClassifier,TfidfVectorizer,0.6047899723052979,Misc-exposition,0.94,1.00,0.97,1184
not,RandomForestClassifier,TfidfVectorizer,0.6047899723052979,Nomenclature,1.00,0.47,0.64,62
not,AdaBoostClassifier,CountVectorizer,0.49944376945495605,Description,0.45,0.63,0.53,54
not,AdaBoostClassifier,CountVectorizer,0.49944376945495605,Misc-exposition,0.96,0.94,0.95,1184
not,AdaBoostClassifier,CountVectorizer,0.49944376945495605,Nomenclature,0.57,0.55,0.56,62
not,AdaBoostClassifier,TfidfVectorizer,0.664893388748169,Description,0.50,0.28,0.36,54
not,AdaBoostClassifier,TfidfVectorizer,0.664893388748169,Misc-exposition,0.93,0.97,0.95,1184
not,AdaBoostClassifier,TfidfVectorizer,0.664893388748169,Nomenclature,0.35,0.13,0.19,62
not,ExtraTreesClassifier,CountVectorizer,0.28757309913635254,Description,0.58,0.57,0.58,54
not,ExtraTreesClassifier,CountVectorizer,0.28757309913635254,Misc-exposition,0.95,0.98,0.97,1184
not,ExtraTreesClassifier,CountVectorizer,0.28757309913635254,Nomenclature,0.88,0.48,0.62,62
not,ExtraTreesClassifier,TfidfVectorizer,0.27362060546875,Description,0.70,0.56,0.62,54
not,ExtraTreesClassifier,TfidfVectorizer,0.27362060546875,Misc-exposition,0.96,0.99,0.97,1184
not,ExtraTreesClassifier,TfidfVectorizer,0.27362060546875,Nomenclature,0.92,0.55,0.69,62
not,GradientBoostingClassifier,CountVectorizer,3.669283151626587,Description,0.79,0.56,0.65,54
not,GradientBoostingClassifier,CountVectorizer,3.669283151626587,Misc-exposition,0.96,0.99,0.97,1184
not,GradientBoostingClassifier,CountVectorizer,3.669283151626587,Nomenclature,0.82,0.52,0.63,62
not,GradientBoostingClassifier,TfidfVectorizer,5.972465991973877,Description,0.74,0.48,0.58,54
not,GradientBoostingClassifier,TfidfVectorizer,5.972465991973877,Misc-exposition,0.95,0.99,0.97,1184
not,GradientBoostingClassifier,TfidfVectorizer,5.972465991973877,Nomenclature,0.85,0.53,0.65,62
not,DecisionTreeClassifier,CountVectorizer,0.41249513626098633,Description,0.62,0.61,0.62,54
not,DecisionTreeClassifier,CountVectorizer,0.41249513626098633,Misc-exposition,0.96,0.96,0.96,1184
not,DecisionTreeClassifier,CountVectorizer,0.41249513626098633,Nomenclature,0.58,0.60,0.59,62
not,DecisionTreeClassifier,TfidfVectorizer,0.48649096488952637,Description,0.60,0.67,0.63,54
not,DecisionTreeClassifier,TfidfVectorizer,0.48649096488952637,Misc-exposition,0.97,0.96,0.96,1184
not,DecisionTreeClassifier,TfidfVectorizer,0.48649096488952637,Nomenclature,0.61,0.73,0.66,62
not,CalibratedClassifierCV,CountVectorizer,0.26424121856689453,Description,0.71,0.46,0.56,54
not,CalibratedClassifierCV,CountVectorizer,0.26424121856689453,Misc-exposition,0.95,0.99,0.97,1184
not,CalibratedClassifierCV,CountVectorizer,0.26424121856689453,Nomenclature,0.81,0.47,0.59,62
not,CalibratedClassifierCV,TfidfVectorizer,0.20774388313293457,Description,0.80,0.74,0.77,54
not,CalibratedClassifierCV,TfidfVectorizer,0.20774388313293457,Misc-exposition,0.97,0.98,0.97,1184
not,CalibratedClassifierCV,TfidfVectorizer,0.20774388313293457,Nomenclature,0.76,0.60,0.67,62
not,DummyClassifier,CountVectorizer,0.1234738826751709,Description,0.07,0.07,0.07,54
not,DummyClassifier,CountVectorizer,0.1234738826751709,Misc-exposition,0.91,0.91,0.91,1184
not,DummyClassifier,CountVectorizer,0.1234738826751709,Nomenclature,0.06,0.06,0.06,62
not,DummyClassifier,TfidfVectorizer,0.12636709213256836,Description,0.07,0.07,0.07,54
not,DummyClassifier,TfidfVectorizer,0.12636709213256836,Misc-exposition,0.91,0.91,0.91,1184
not,DummyClassifier,TfidfVectorizer,0.12636709213256836,Nomenclature,0.06,0.06,0.06,62
not,PassiveAggressiveClassifier,CountVectorizer,0.13175177574157715,Description,0.71,0.72,0.72,54
not,PassiveAggressiveClassifier,CountVectorizer,0.13175177574157715,Misc-exposition,0.97,0.97,0.97,1184
not,PassiveAggressiveClassifier,CountVectorizer,0.13175177574157715,Nomenclature,0.75,0.68,0.71,62
not,PassiveAggressiveClassifier,TfidfVectorizer,0.13371586799621582,Description,0.81,0.70,0.75,54
not,PassiveAggressiveClassifier,TfidfVectorizer,0.13371586799621582,Misc-exposition,0.97,0.98,0.97,1184
not,PassiveAggressiveClassifier,TfidfVectorizer,0.13371586799621582,Nomenclature,0.72,0.66,0.69,62
not,RidgeClassifier,CountVectorizer,1.2123332023620605,Description,0.70,0.57,0.63,54
not,RidgeClassifier,CountVectorizer,1.2123332023620605,Misc-exposition,0.96,0.97,0.96,1184
not,RidgeClassifier,CountVectorizer,1.2123332023620605,Nomenclature,0.59,0.48,0.53,62
not,RidgeClassifier,TfidfVectorizer,0.23216700553894043,Description,0.78,0.59,0.67,54
not,RidgeClassifier,TfidfVectorizer,0.23216700553894043,Misc-exposition,0.96,0.99,0.97,1184
not,RidgeClassifier,TfidfVectorizer,0.23216700553894043,Nomenclature,0.85,0.47,0.60,62
not,SGDClassifier,CountVectorizer,0.13404226303100586,Description,0.76,0.63,0.69,54
not,SGDClassifier,CountVectorizer,0.13404226303100586,Misc-exposition,0.97,0.98,0.97,1184
not,SGDClassifier,CountVectorizer,0.13404226303100586,Nomenclature,0.66,0.61,0.63,62
not,SGDClassifier,TfidfVectorizer,0.13524341583251953,Description,0.81,0.72,0.76,54
not,SGDClassifier,TfidfVectorizer,0.13524341583251953,Misc-exposition,0.97,0.98,0.97,1184
not,SGDClassifier,TfidfVectorizer,0.13524341583251953,Nomenclature,0.72,0.66,0.69,62
not,OneVsRestClassifier,CountVectorizer,1.0755047798156738,Description,0.62,0.63,0.62,54
not,OneVsRestClassifier,CountVectorizer,1.0755047798156738,Misc-exposition,0.97,0.97,0.97,1184
not,OneVsRestClassifier,CountVectorizer,1.0755047798156738,Nomenclature,0.66,0.65,0.65,62
not,OneVsRestClassifier,TfidfVectorizer,1.3531992435455322,Description,0.79,0.63,0.70,54
not,OneVsRestClassifier,TfidfVectorizer,1.3531992435455322,Misc-exposition,0.96,0.99,0.97,1184
not,OneVsRestClassifier,TfidfVectorizer,1.3531992435455322,Nomenclature,0.85,0.53,0.65,62
not,OneVsRestClassifier,CountVectorizer,0.2938244342803955,Description,0.64,0.54,0.59,54
not,OneVsRestClassifier,CountVectorizer,0.2938244342803955,Misc-exposition,0.96,0.98,0.97,1184
not,OneVsRestClassifier,CountVectorizer,0.2938244342803955,Nomenclature,0.81,0.56,0.67,62
not,OneVsRestClassifier,TfidfVectorizer,0.18709635734558105,Description,0.72,0.24,0.36,54
not,OneVsRestClassifier,TfidfVectorizer,0.18709635734558105,Misc-exposition,0.93,1.00,0.96,1184
not,OneVsRestClassifier,TfidfVectorizer,0.18709635734558105,Nomenclature,1.00,0.31,0.47,62
