reinterpret,classifier,vectorizer,score,time
latinate,RidgeClassifier,CountVectorizer,0.914913731978,6.18121600151062
latinate,RidgeClassifier,TfidfVectorizer,0.941385015363,0.6797308921813965
latinate,SGDClassifier,CountVectorizer,0.93807610494,0.41194629669189453
latinate,SGDClassifier,TfidfVectorizer,0.939494209407,0.4127950668334961
latinate,OneVsRestClassifier,CountVectorizer,0.93074923186,8.429981470108032
latinate,OneVsRestClassifier,TfidfVectorizer,0.939966910896,9.955419301986694
latinate,OneVsRestClassifier,CountVectorizer,0.937367052706,1.0288777351379395
latinate,OneVsRestClassifier,TfidfVectorizer,0.918931694635,0.5587694644927979
latinate,KNeighborsClassifier,CountVectorizer,0.905696052943,1.6121251583099365
latinate,KNeighborsClassifier,TfidfVectorizer,0.876152209879,1.6466259956359863
punctuation,BernoulliNB,CountVectorizer,0.874970456157,0.481492280960083
punctuation,BernoulliNB,TfidfVectorizer,0.874970456157,0.4560730457305908
punctuation,RandomForestClassifier,CountVectorizer,0.945402978019,3.004779100418091
punctuation,RandomForestClassifier,TfidfVectorizer,0.943748522808,2.5266354084014893
punctuation,AdaBoostClassifier,CountVectorizer,0.896005672418,1.5354068279266357
punctuation,AdaBoostClassifier,TfidfVectorizer,0.892224060506,2.0419037342071533
punctuation,BaggingClassifier,CountVectorizer,0.935239896006,16.290812253952026
punctuation,BaggingClassifier,TfidfVectorizer,0.938785157173,20.332170009613037
punctuation,ExtraTreesClassifier,CountVectorizer,0.929803828882,1.8229172229766846
punctuation,ExtraTreesClassifier,TfidfVectorizer,0.944221224297,1.6632821559906006
punctuation,GradientBoostingClassifier,CountVectorizer,0.934058142283,10.887350797653198
punctuation,GradientBoostingClassifier,TfidfVectorizer,0.937367052706,18.050153255462646
punctuation,DecisionTreeClassifier,CountVectorizer,0.927203970693,2.2701146602630615
punctuation,DecisionTreeClassifier,TfidfVectorizer,0.917986291657,4.291765213012695
punctuation,CalibratedClassifierCV,CountVectorizer,0.934058142283,1.611475944519043
punctuation,CalibratedClassifierCV,TfidfVectorizer,0.945875679508,0.6919441223144531
punctuation,DummyClassifier,CountVectorizer,0.729142046797,0.4272308349609375
punctuation,DummyClassifier,TfidfVectorizer,0.718978964784,0.43459486961364746
punctuation,PassiveAggressiveClassifier,CountVectorizer,0.936658000473,0.4544250965118408
punctuation,PassiveAggressiveClassifier,TfidfVectorizer,0.941857716852,0.4509923458099365
punctuation,RidgeClassifier,CountVectorizer,0.910659418577,5.276376724243164
punctuation,RidgeClassifier,TfidfVectorizer,0.941385015363,0.7397570610046387
punctuation,SGDClassifier,CountVectorizer,0.936421649728,0.45128798484802246
punctuation,SGDClassifier,TfidfVectorizer,0.943512172063,0.4460334777832031
punctuation,OneVsRestClassifier,CountVectorizer,0.932640037816,9.762794256210327
punctuation,OneVsRestClassifier,TfidfVectorizer,0.946112030253,11.614559650421143
punctuation,OneVsRestClassifier,CountVectorizer,0.94020326164,1.101818561553955
punctuation,OneVsRestClassifier,TfidfVectorizer,0.921767903569,0.6387264728546143
punctuation,KNeighborsClassifier,CountVectorizer,0.919168045379,1.8297123908996582
punctuation,KNeighborsClassifier,TfidfVectorizer,0.881588277003,1.8930985927581787
year,BernoulliNB,CountVectorizer,0.877570314346,0.4289588928222656
year,BernoulliNB,TfidfVectorizer,0.877570314346,0.4050333499908447
year,RandomForestClassifier,CountVectorizer,0.942330418341,3.262871503829956
year,RandomForestClassifier,TfidfVectorizer,0.941385015363,2.6736488342285156
year,AdaBoostClassifier,CountVectorizer,0.887260694871,1.3917975425720215
year,AdaBoostClassifier,TfidfVectorizer,0.888206097849,1.8182470798492432
year,BaggingClassifier,CountVectorizer,0.925785866225,16.793591499328613
year,BaggingClassifier,TfidfVectorizer,0.935003545261,20.45559525489807
